"","host_species","preds"
"1","Paranyctimene_raptor",NA
"2","Nyctimene_aello",NA
"3","Nyctimene_certans",NA
"4","Nyctimene_cyclotis",NA
"5","Nyctimene_major",NA
"6","Nyctimene_robinsoni",NA
"7","Nyctimene_albiventer",NA
"8","Nyctimene_draconilla",NA
"9","Nyctimene_minutus",NA
"10","Nyctimene_cephalotes",NA
"11","Nyctimene_rabori",NA
"12","Nyctimene_malaitensis",NA
"13","Nyctimene_masalai",NA
"14","Nyctimene_vizcaccia",NA
"15","Sphaerias_blanfordi",NA
"16","Alionycteris_paucidentata",NA
"17","Otopteropus_cartilagonodus",NA
"18","Haplonycteris_fischeri",NA
"19","Latidens_salimalii",NA
"20","Penthetor_lucasi",NA
"21","Thoopterus_nigrescens",NA
"22","Aethalops_alecto",NA
"23","Aethalops_aequalis",NA
"24","Balionycteris_maculata",NA
"25","Chironax_melanocephalus",NA
"26","Dyacopterus_spadiceus",NA
"27","Dyacopterus_brooksi",NA
"28","Ptenochirus_jagori",NA
"29","Ptenochirus_minor",NA
"30","Megaerops_ecaudatus",NA
"31","Megaerops_kusnotoi",NA
"32","Megaerops_niphanae",NA
"33","Megaerops_wetmorei",NA
"34","Cynopterus_sphinx",NA
"35","Cynopterus_brachyotis",NA
"36","Cynopterus_luzoniensis",NA
"37","Cynopterus_minutus",NA
"38","Cynopterus_nusatenggara",NA
"39","Cynopterus_horsfieldii",NA
"40","Cynopterus_titthaecheilus",NA
"41","Rousettus_bidens",NA
"42","Lissonycteris_angolensis",NA
"43","Megaloglossus_woermanni",NA
"44","Eidolon_helvum",NA
"45","Eidolon_dupreanum",NA
"46","Myonycteris_relicta",NA
"47","Myonycteris_brachycephala",NA
"48","Myonycteris_torquata",NA
"49","Rousettus_lanosus",NA
"50","Rousettus_aegyptiacus",NA
"51","Rousettus_amplexicaudatus",NA
"52","Rousettus_celebensis",NA
"53","Rousettus_leschenaultii",NA
"54","Rousettus_madagascariensis",NA
"55","Rousettus_obliviosus",NA
"56","Rousettus_spinalatus",NA
"57","Plerotes_anchietae",NA
"58","Casinycteris_argynnis",NA
"59","Scotonycteris_ophiodon",NA
"60","Scotonycteris_zenkeri",NA
"61","Nanonycteris_veldkampii",NA
"62","Hypsignathus_monstrosus",NA
"63","Epomops_buettikoferi",NA
"64","Epomops_dobsonii",NA
"65","Epomops_franqueti",NA
"66","Micropteropus_intermedius",NA
"67","Micropteropus_pusillus",NA
"68","Epomophorus_wahlbergi",NA
"69","Epomophorus_angolensis",NA
"70","Epomophorus_gambianus",NA
"71","Epomophorus_crypturus",NA
"72","Epomophorus_grandis",NA
"73","Epomophorus_labiatus",NA
"74","Epomophorus_minor",NA
"75","Epomophorus_minimus",NA
"76","Eonycteris_major",NA
"77","Eonycteris_robusta",NA
"78","Eonycteris_spelaea",NA
"79","Macroglossus_minimus",NA
"80","Macroglossus_sobrinus",NA
"81","Syconycteris_australis",NA
"82","Syconycteris_carolinae",NA
"83","Syconycteris_hobbit",NA
"84","Notopteris_macdonaldi",NA
"85","Notopteris_neocaledonica",NA
"86","Melonycteris_melanops",NA
"87","Melonycteris_woodfordi",NA
"88","Harpyionycteris_celebensis",NA
"89","Harpyionycteris_whiteheadi",NA
"90","Aproteles_bulmerae",NA
"91","Dobsonia_beauforti",NA
"92","Dobsonia_inermis",NA
"93","Dobsonia_praedatrix",NA
"94","Dobsonia_viridis",NA
"95","Dobsonia_crenulata",NA
"96","Dobsonia_minor",NA
"97","Dobsonia_peronii",NA
"98","Dobsonia_emersa",NA
"99","Dobsonia_exoleta",NA
"100","Dobsonia_moluccensis",NA
"101","Dobsonia_magna",NA
"102","Dobsonia_anderseni",NA
"103","Dobsonia_pannietensis",NA
"104","Styloctenium_wallacei",NA
"105","Neopteryx_frosti",NA
"106","Pteralopex_acrodonta",NA
"107","Pteralopex_anceps",NA
"108","Pteralopex_atrata",NA
"109","Pteralopex_pulchra",NA
"110","Acerodon_celebensis",NA
"111","Acerodon_humilis",NA
"112","Acerodon_jubatus",NA
"113","Acerodon_leucotis",NA
"114","Acerodon_mackloti",NA
"115","Pteropus_speciosus",NA
"116","Pteropus_neohibernicus",NA
"117","Pteropus_howensis",NA
"118","Pteropus_ornatus",NA
"119","Pteropus_pumilus",NA
"120","Pteropus_melanotus",NA
"121","Pteropus_hypomelanus",NA
"122","Pteropus_griseus",NA
"123","Pteropus_admiralitatum",NA
"124","Pteropus_alecto",NA
"125","Pteropus_faunulus",NA
"126","Pteropus_dasymallus",NA
"127","Pteropus_livingstonii",NA
"128","Pteropus_melanopogon",NA
"129","Pteropus_aruensis",NA
"130","Pteropus_keyensis",NA
"131","Pteropus_caniceps",NA
"132","Pteropus_conspicillatus",NA
"133","Pteropus_ocularis",NA
"134","Pteropus_anetianus",NA
"135","Pteropus_samoensis",NA
"136","Pteropus_mariannus",NA
"137","Pteropus_pelewensis",NA
"138","Pteropus_ualanus",NA
"139","Pteropus_yapensis",NA
"140","Pteropus_loochoensis",NA
"141","Pteropus_tonganus",NA
"142","Pteropus_personatus",NA
"143","Pteropus_temminckii",NA
"144","Pteropus_capistratus",NA
"145","Pteropus_macrotis",NA
"146","Pteropus_pohlei",NA
"147","Pteropus_poliocephalus",NA
"148","Pteropus_lombocensis",NA
"149","Pteropus_molossinus",NA
"150","Pteropus_rodricensis",NA
"151","Pteropus_chrysoproctus",NA
"152","Pteropus_fundatus",NA
"153","Pteropus_rayneri",NA
"154","Pteropus_rennelli",NA
"155","Pteropus_cognatus",NA
"156","Pteropus_giganteus",NA
"157","Pteropus_lylei",NA
"158","Pteropus_vampyrus",NA
"159","Pteropus_intermedius",NA
"160","Pteropus_gilliardorum",NA
"161","Pteropus_mahaganus",NA
"162","Pteropus_scapulatus",NA
"163","Pteropus_woodfordi",NA
"164","Pteropus_aldabrensis",NA
"165","Pteropus_seychellensis",NA
"166","Pteropus_niger",NA
"167","Pteropus_rufus",NA
"168","Pteropus_voeltzkowi",NA
"169","Pteropus_insularis",NA
"170","Pteropus_leucopterus",NA
"171","Pteropus_nitendiensis",NA
"172","Pteropus_pselaphon",NA
"173","Pteropus_tuberculatus",NA
"174","Pteropus_vetulus",NA
"175","Saccolaimus_peli",NA
"176","Saccolaimus_flaviventris",NA
"177","Saccolaimus_mixtus",NA
"178","Saccolaimus_saccolaimus",NA
"179","Taphozous_hamiltoni",NA
"180","Taphozous_nudiventris",NA
"181","Taphozous_theobaldi",NA
"182","Taphozous_hilli",NA
"183","Taphozous_australis",NA
"184","Taphozous_georgianus",NA
"185","Taphozous_troughtoni",NA
"186","Taphozous_kapalgensis",NA
"187","Taphozous_hildegardeae",NA
"188","Taphozous_longimanus",NA
"189","Taphozous_mauritianus",NA
"190","Taphozous_perforatus",NA
"191","Taphozous_melanopogon",NA
"192","Taphozous_achates",NA
"193","Mosia_nigrescens",NA
"194","Emballonura_atrata",NA
"195","Emballonura_beccarii",NA
"196","Emballonura_dianae",NA
"197","Emballonura_furax",NA
"198","Emballonura_raffrayana",NA
"199","Emballonura_semicaudata",NA
"200","Coleura_afra",NA
"201","Coleura_seychellensis",NA
"202","Emballonura_alecto",NA
"203","Emballonura_monticola",NA
"204","Rhynchonycteris_naso",NA
"205","Cyttarops_alecto",NA
"206","Diclidurus_isabellus",NA
"207","Diclidurus_scutatus",NA
"208","Diclidurus_albus",NA
"209","Diclidurus_ingens",NA
"210","Centronycteris_maximiliani",NA
"211","Centronycteris_centralis",NA
"212","Cormura_brevirostris",NA
"213","Saccopteryx_bilineata",NA
"214","Saccopteryx_leptura",NA
"215","Saccopteryx_gymnura",NA
"216","Saccopteryx_canescens",NA
"217","Balantiopteryx_io",NA
"218","Balantiopteryx_infusca",NA
"219","Balantiopteryx_plicata",NA
"220","Peropteryx_leucoptera",NA
"221","Peropteryx_kappleri",NA
"222","Peropteryx_macrotis",NA
"223","Peropteryx_trinitatis",NA
"224","Craseonycteris_thonglongyai",NA
"225","Rhinopoma_hardwickii",NA
"226","Rhinopoma_macinnesi",NA
"227","Rhinopoma_microphyllum",NA
"228","Rhinopoma_muscatellum",NA
"229","Cardioderma_cor",NA
"230","Lavia_frons",NA
"231","Macroderma_gigas",NA
"232","Megaderma_lyra",NA
"233","Megaderma_spasma",NA
"234","Nycteris_javanica",NA
"235","Nycteris_tragata",NA
"236","Nycteris_arge",NA
"237","Nycteris_intermedia",NA
"238","Nycteris_major",NA
"239","Nycteris_nana",NA
"240","Nycteris_gambiensis",NA
"241","Nycteris_thebaica",NA
"242","Nycteris_grandis",NA
"243","Nycteris_hispida",NA
"244","Nycteris_aurita",NA
"245","Nycteris_macrotis",NA
"246","Nycteris_vinsoni",NA
"247","Nycteris_madagascariensis",NA
"248","Nycteris_woodi",NA
"249","Nycteris_parisii",NA
"250","Rhinolophus_monoceros",NA
"251","Rhinolophus_pusillus",NA
"252","Rhinolophus_osgoodi",NA
"253","Rhinolophus_cornutus",NA
"254","Rhinolophus_lepidus",NA
"255","Rhinolophus_shortridgei",NA
"256","Rhinolophus_imaizumii",NA
"257","Rhinolophus_cognatus",NA
"258","Rhinolophus_subbadius",NA
"259","Rhinolophus_acuminatus",NA
"260","Rhinolophus_adami",NA
"261","Rhinolophus_affinis",NA
"262","Rhinolophus_alcyone",NA
"263","Rhinolophus_arcuatus",NA
"264","Rhinolophus_blasii",NA
"265","Rhinolophus_capensis",NA
"266","Rhinolophus_celebensis",NA
"267","Rhinolophus_madurensis",NA
"268","Rhinolophus_clivosus",NA
"269","Rhinolophus_bocharicus",NA
"270","Rhinolophus_hillorum",NA
"271","Rhinolophus_coelophyllus",NA
"272","Rhinolophus_darlingi",NA
"273","Rhinolophus_deckenii",NA
"274","Rhinolophus_denti",NA
"275","Rhinolophus_eloquens",NA
"276","Rhinolophus_euryotis",NA
"277","Rhinolophus_ferrumequinum",NA
"278","Rhinolophus_fumigatus",NA
"279","Rhinolophus_hildebrandtii",NA
"280","Rhinolophus_hipposideros",NA
"281","Rhinolophus_inops",NA
"282","Rhinolophus_keyensis",NA
"283","Rhinolophus_luctus",NA
"284","Rhinolophus_beddomei",NA
"285","Rhinolophus_formosae",NA
"286","Rhinolophus_maclaudi",NA
"287","Rhinolophus_hilli",NA
"288","Rhinolophus_ruwenzorii",NA
"289","Rhinolophus_macrotis",NA
"290","Rhinolophus_siamensis",NA
"291","Rhinolophus_malayanus",NA
"292","Rhinolophus_marshalli",NA
"293","Rhinolophus_megaphyllus",NA
"294","Rhinolophus_mitratus",NA
"295","Rhinolophus_paradoxolophus",NA
"296","Rhinolophus_pearsonii",NA
"297","Rhinolophus_philippinensis",NA
"298","Rhinolophus_montanus",NA
"299","Rhinolophus_rex",NA
"300","Rhinolophus_robinsoni",NA
"301","Rhinolophus_rouxii",NA
"302","Rhinolophus_sinicus",NA
"303","Rhinolophus_rufus",NA
"304","Rhinolophus_sedulus",NA
"305","Rhinolophus_shameli",NA
"306","Rhinolophus_silvestris",NA
"307","Rhinolophus_simulator",NA
"308","Rhinolophus_stheno",NA
"309","Rhinolophus_subrufus",NA
"310","Rhinolophus_swinnyi",NA
"311","Rhinolophus_thomasi",NA
"312","Rhinolophus_trifoliatus",NA
"313","Rhinolophus_virgo",NA
"314","Rhinolophus_yunanensis",NA
"315","Rhinolophus_nereis",NA
"316","Rhinolophus_borneensis",NA
"317","Rhinolophus_canuti",NA
"318","Rhinolophus_creaghi",NA
"319","Rhinolophus_mehelyi",NA
"320","Rhinolophus_euryale",NA
"321","Rhinolophus_landeri",NA
"322","Rhinolophus_guineensis",NA
"323","Paracoelops_megalotis",NA
"324","Coelops_frithii",NA
"325","Coelops_robinsoni",NA
"326","Rhinonicteris_aurantia",NA
"327","Triaenops_furculus",NA
"328","Triaenops_auritus",NA
"329","Triaenops_persicus",NA
"330","Triaenops_rufus",NA
"331","Aselliscus_tricuspidatus",NA
"332","Anthops_ornatus",NA
"333","Hipposideros_ater",NA
"334","Hipposideros_abae",NA
"335","Hipposideros_beatus",NA
"336","Hipposideros_bicolor",NA
"337","Hipposideros_breviceps",NA
"338","Hipposideros_caffer",NA
"339","Hipposideros_cineraceus",NA
"340","Hipposideros_durgadasi",NA
"341","Hipposideros_coxi",NA
"342","Hipposideros_curtus",NA
"343","Hipposideros_dyacorum",NA
"344","Hipposideros_fuliginosus",NA
"345","Hipposideros_fulvus",NA
"346","Hipposideros_galeritus",NA
"347","Hipposideros_halophyllus",NA
"348","Hipposideros_jonesi",NA
"349","Hipposideros_macrobullatus",NA
"350","Hipposideros_maggietaylorae",NA
"351","Hipposideros_marisae",NA
"352","Hipposideros_megalotis",NA
"353","Hipposideros_nequam",NA
"354","Hipposideros_obscurus",NA
"355","Hipposideros_papua",NA
"356","Hipposideros_pomona",NA
"357","Hipposideros_pygmaeus",NA
"358","Hipposideros_ridleyi",NA
"359","Hipposideros_speoris",NA
"360","Hipposideros_doriae",NA
"361","Hipposideros_coronatus",NA
"362","Hipposideros_calcaratus",NA
"363","Hipposideros_lamottei",NA
"364","Hipposideros_ruber",NA
"365","Hipposideros_crumeniferus",NA
"366","Hipposideros_cervinus",NA
"367","Cloeotis_percivali",NA
"368","Aselliscus_stoliczkanus",NA
"369","Hipposideros_armiger",NA
"370","Hipposideros_commersoni",NA
"371","Hipposideros_gigas",NA
"372","Hipposideros_thomensis",NA
"373","Hipposideros_vittatus",NA
"374","Hipposideros_diadema",NA
"375","Hipposideros_demissus",NA
"376","Hipposideros_inornatus",NA
"377","Hipposideros_dinops",NA
"378","Hipposideros_pelingensis",NA
"379","Hipposideros_inexpectatus",NA
"380","Hipposideros_lankadiva",NA
"381","Hipposideros_larvatus",NA
"382","Hipposideros_grandis",NA
"383","Hipposideros_sumbae",NA
"384","Hipposideros_lekaguli",NA
"385","Hipposideros_turpis",NA
"386","Hipposideros_lylei",NA
"387","Hipposideros_pratti",NA
"388","Asellia_patrizii",NA
"389","Asellia_tridens",NA
"390","Hipposideros_camerunensis",NA
"391","Hipposideros_cyclops",NA
"392","Hipposideros_corynophyllus",NA
"393","Hipposideros_stenotis",NA
"394","Hipposideros_wollastoni",NA
"395","Hipposideros_muscinus",NA
"396","Hipposideros_semoni",NA
"397","Myzopoda_aurita",NA
"398","Thyroptera_discifera",NA
"399","Thyroptera_tricolor",NA
"400","Amorphochilus_schnablii",NA
"401","Furipterus_horrens",NA
"402","Nyctiellus_lepidus",NA
"403","Natalus_stramineus",NA
"404","Natalus_jamaicensis",NA
"405","Natalus_major",NA
"406","Natalus_primus",NA
"407","Natalus_tumidirostris",NA
"408","Chilonatalus_micropus",NA
"409","Chilonatalus_tumidifrons",NA
"410","Mystacina_tuberculata",NA
"411","Noctilio_albiventris",NA
"412","Noctilio_leporinus",NA
"413","Mormoops_blainvillei",NA
"414","Mormoops_megalophylla",NA
"415","Pteronotus_parnellii",NA
"416","Pteronotus_davyi",NA
"417","Pteronotus_gymnonotus",NA
"418","Pteronotus_personatus",NA
"419","Pteronotus_quadridens",NA
"420","Pteronotus_macleayii",NA
"421","Diphylla_ecaudata",NA
"422","Desmodus_rotundus",NA
"423","Diaemus_youngi",NA
"424","Macrophyllum_macrophyllum",NA
"425","Lonchorhina_aurita",NA
"426","Lonchorhina_fernandezi",NA
"427","Lonchorhina_marinkellei",NA
"428","Lonchorhina_orinocensis",NA
"429","Macrotus_californicus",NA
"430","Macrotus_waterhousii",NA
"431","Lampronycteris_brachyotis",NA
"432","Micronycteris_megalotis",NA
"433","Micronycteris_homezi",NA
"434","Micronycteris_microtis",NA
"435","Micronycteris_hirsuta",NA
"436","Micronycteris_minuta",NA
"437","Micronycteris_schmidtorum",NA
"438","Trinycteris_nicefori",NA
"439","Neonycteris_pusilla",NA
"440","Glyphonycteris_daviesi",NA
"441","Glyphonycteris_behnii",NA
"442","Glyphonycteris_sylvestris",NA
"443","Trachops_cirrhosus",NA
"444","Chrotopterus_auritus",NA
"445","Vampyrum_spectrum",NA
"446","Tonatia_bidens",NA
"447","Tonatia_saurophila",NA
"448","Lophostoma_brasiliense",NA
"449","Lophostoma_carrikeri",NA
"450","Lophostoma_evotis",NA
"451","Lophostoma_schulzi",NA
"452","Lophostoma_silvicolum",NA
"453","Mimon_bennettii",NA
"454","Mimon_cozumelae",NA
"455","Mimon_crenulatum",NA
"456","Mimon_koepckeae",NA
"457","Phylloderma_stenops",NA
"458","Phyllostomus_latifolius",NA
"459","Phyllostomus_discolor",NA
"460","Phyllostomus_elongatus",NA
"461","Phyllostomus_hastatus",NA
"462","Brachyphylla_cavernarum",NA
"463","Brachyphylla_nana",NA
"464","Erophylla_sezekorni",NA
"465","Erophylla_bombifrons",NA
"466","Phyllonycteris_aphylla",NA
"467","Phyllonycteris_poeyi",NA
"468","Platalina_genovensium",NA
"469","Lionycteris_spurrelli",NA
"470","Lonchophylla_bokermanni",NA
"471","Lonchophylla_dekeyseri",NA
"472","Lonchophylla_handleyi",NA
"473","Lonchophylla_hesperia",NA
"474","Lonchophylla_mordax",NA
"475","Lonchophylla_robusta",NA
"476","Lonchophylla_thomasi",NA
"477","Leptonycteris_curasoae",NA
"478","Leptonycteris_yerbabuenae",NA
"479","Leptonycteris_nivalis",NA
"480","Monophyllus_plethodon",NA
"481","Monophyllus_redmani",NA
"482","Glossophaga_commissarisi",NA
"483","Glossophaga_soricina",NA
"484","Glossophaga_leachii",NA
"485","Glossophaga_longirostris",NA
"486","Glossophaga_morenoi",NA
"487","Anoura_caudifer",NA
"488","Anoura_cultrata",NA
"489","Anoura_geoffroyi",NA
"490","Anoura_latidens",NA
"491","Scleronycteris_ega",NA
"492","Hylonycteris_underwoodi",NA
"493","Lichonycteris_obscura",NA
"494","Choeronycteris_mexicana",NA
"495","Musonycteris_harrisoni",NA
"496","Choeroniscus_godmani",NA
"497","Choeroniscus_minor",NA
"498","Choeroniscus_periosus",NA
"499","Rhinophylla_alethina",NA
"500","Rhinophylla_fischerae",NA
"501","Rhinophylla_pumilio",NA
"502","Carollia_castanea",NA
"503","Carollia_brevicauda",NA
"504","Carollia_perspicillata",NA
"505","Carollia_subrufa",NA
"506","Sturnira_bidens",NA
"507","Sturnira_nana",NA
"508","Sturnira_aratathomasi",NA
"509","Sturnira_lilium",NA
"510","Sturnira_ludovici",NA
"511","Sturnira_luisi",NA
"512","Sturnira_magna",NA
"513","Sturnira_mordax",NA
"514","Sturnira_thomasi",NA
"515","Sturnira_tildae",NA
"516","Sturnira_bogotensis",NA
"517","Sturnira_oporaphilum",NA
"518","Sturnira_erythromos",NA
